{'seed': 42, 'physical_batch_size': 8, 'num_coarse_points': 1024, 'global_feat_dim': 1024, 'grid_size': 2, 'grid_scale': 0.05, 'max_epoch': 50, 'learning_rate': 0.0001, 'gpu': 0, 'decay_step': 50000, 'decay_rate': 0.7, 'log_dir': 'log'}
Training on device: cuda:0 | Hostname: c1-24-25-16134
Physical Batch: 8 | Accumulation Steps: 4

**** EPOCH 001 ****
Batch [00000/28974] | Loss: 0.1055 | LR: 0.000100
Batch [00100/28974] | Loss: 0.0084 | LR: 0.000100
Batch [00200/28974] | Loss: 0.0047 | LR: 0.000100
Batch [00300/28974] | Loss: 0.0066 | LR: 0.000100
Batch [00400/28974] | Loss: 0.0040 | LR: 0.000100
Batch [00500/28974] | Loss: 0.0044 | LR: 0.000100
Batch [00600/28974] | Loss: 0.0055 | LR: 0.000100
Batch [00700/28974] | Loss: 0.0050 | LR: 0.000100
Batch [00800/28974] | Loss: 0.0034 | LR: 0.000100
Batch [00900/28974] | Loss: 0.0048 | LR: 0.000100
Batch [01000/28974] | Loss: 0.0031 | LR: 0.000100
Batch [01100/28974] | Loss: 0.0041 | LR: 0.000100
Batch [01200/28974] | Loss: 0.0024 | LR: 0.000100
Batch [01300/28974] | Loss: 0.0031 | LR: 0.000100
Batch [01400/28974] | Loss: 0.0028 | LR: 0.000100
Batch [01500/28974] | Loss: 0.0035 | LR: 0.000100
Batch [01600/28974] | Loss: 0.0041 | LR: 0.000100
Batch [01700/28974] | Loss: 0.0033 | LR: 0.000100
Batch [01800/28974] | Loss: 0.0023 | LR: 0.000100
Batch [01900/28974] | Loss: 0.0031 | LR: 0.000100
Batch [02000/28974] | Loss: 0.0023 | LR: 0.000100
Batch [02100/28974] | Loss: 0.0024 | LR: 0.000100
Batch [02200/28974] | Loss: 0.0033 | LR: 0.000100
Batch [02300/28974] | Loss: 0.0042 | LR: 0.000100
Batch [02400/28974] | Loss: 0.0046 | LR: 0.000100
Batch [02500/28974] | Loss: 0.0028 | LR: 0.000100
Batch [02600/28974] | Loss: 0.0036 | LR: 0.000100
Batch [02700/28974] | Loss: 0.0040 | LR: 0.000100
Batch [02800/28974] | Loss: 0.0027 | LR: 0.000100
Batch [02900/28974] | Loss: 0.0024 | LR: 0.000100
Batch [03000/28974] | Loss: 0.0019 | LR: 0.000100
Batch [03100/28974] | Loss: 0.0022 | LR: 0.000100
Batch [03200/28974] | Loss: 0.0019 | LR: 0.000100
Batch [03300/28974] | Loss: 0.0022 | LR: 0.000100
Batch [03400/28974] | Loss: 0.0016 | LR: 0.000100
Batch [03500/28974] | Loss: 0.0045 | LR: 0.000100
Batch [03600/28974] | Loss: 0.0021 | LR: 0.000100
Batch [03700/28974] | Loss: 0.0027 | LR: 0.000100
Batch [03800/28974] | Loss: 0.0022 | LR: 0.000100
Batch [03900/28974] | Loss: 0.0022 | LR: 0.000100
Batch [04000/28974] | Loss: 0.0030 | LR: 0.000100
Batch [04100/28974] | Loss: 0.0030 | LR: 0.000100
Batch [04200/28974] | Loss: 0.0021 | LR: 0.000100
Batch [04300/28974] | Loss: 0.0027 | LR: 0.000100
Batch [04400/28974] | Loss: 0.0017 | LR: 0.000100
Batch [04500/28974] | Loss: 0.0028 | LR: 0.000100
Batch [04600/28974] | Loss: 0.0016 | LR: 0.000100
Batch [04700/28974] | Loss: 0.0015 | LR: 0.000100
Batch [04800/28974] | Loss: 0.0021 | LR: 0.000100
Batch [04900/28974] | Loss: 0.0022 | LR: 0.000100
Batch [05000/28974] | Loss: 0.0014 | LR: 0.000100
Batch [05100/28974] | Loss: 0.0024 | LR: 0.000100
